date,number positive,daily new,num tested,total deaths, daily deaths
030120,35,12,1290,-1,-1
030220,40,5,1775,-1,-1
030320,51,11,386,-1,-1
030420,85,34,2748,-1,-1
030520,115,30,1424,-1,-1
030620,163,48,2255,-1,-1
030720,206,43,1122,-1,-1
030820,273,67,2053,-1,-1
030920,319,46,1447,-1,-1
031020,373,54,1301,6,-1
031120,456,83,1215,6,0
031220,590,134,2288,8,2
031320,797,207,-1,8,0
031420,1140,343,-1,21,13
031520,1391,330,-1,35,14
031620,1543,152,-1,55,20
031720,1950,407,-1,71,16
031820,2626,676,-1,103,32
031920,3269,643,-1,144,31
032020,3983,714,-1,177,33
032120,5018,1035,-1,233,56
032220,5683,665,-1,281,48
032320,6650,967,-1,335,54
032420,8077,1427,-1,422,87
032520,9529,1452,-1,463,41
032620,11658,2129,-1,578,115
032720,14543,2885,-1,759,181
032820,17089,2546,-1,1019,260
032920,19522,2433,-1,1228,209
033020,22141,1408,-1,2619,180
033120,,,-1,,
