+7,"Sat, Jun 9th 2018",NJPW:Dominion 6.9 In Osaka-Jo Hall ,Kazuchika Okada vs Kenny Omega 
+6.25,"Sun, Jun 11th 2017",NJPW:Dominion 6.11 ,Kenny Omega vs Kazuchika Okada 
+6,"Sat, Aug 12th 2017",NJPW:G1 Climax 2017 - Day 18 ,Kenny Omega vs Kazuchika Okada 
+6,"Wed, Jan 4th 2017",NJPW:Wrestle Kingdom XI ,Kenny Omega vs Kazuchika Okada 
+6,"Fri, Jun 3rd 1994",AJPW:Budokan Hall Show (Jun '94) ,Toshiaki Kawada vs Mitsuharu Misawa 
+5.75,"Sun, Aug 13th 2017",NJPW:G1 Climax 2017 - Day 19 ,Tetsuya Naito vs Kenny Omega 
+5.5,"Sat, Aug 4th 2018",NJPW:G1 Climax 2018 - Day 14 ,Kenny Omega vs Tomohiro Ishii 
+5.5,"Mon, Jun 4th 2018",NJPW:Best of the Super Juniors XXV - Day 14 ,Taiji Ishimori vs Hiromu Takahashi 
+5.5,"Fri, May 4th 2018",NJPW:Wrestling Dontaku 2018 - Day 2 ,Kazuchika Okada vs Hiroshi Tanahashi 
+5,"Sat, Jul 21st 2018",NJPW:G1 Climax 2018 - Day 6 ,Tomohiro Ishii vs Hirooki Goto 
+5,"Sat, Apr 7th 2018",NXT:Takeover: New Orleans ,"Adam Cole vs EC3, Killian Dain, Lars Sullivan, Ricochet, The Velveteen Dream "
+5,"Sat, Apr 7th 2018",NXT:Takeover: New Orleans ,Tommaso Ciampa vs Johnny Gargano 
+5,"Sun, Apr 1st 2018",NJPW:Sakura Genesis 2018 ,Marty Scurll vs Will Ospreay 
+5,"Sun, Mar 25th 2018",NJPW:Strong Style Evolved ,"Kota Ibushi, Kenny Omega vs Nick Jackson, Matt Jackson "
+5,"Sat, Jan 27th 2018",NXT:TakeOver: Philadelphia ,"Andrade ""Cien"" Almas vs Johnny Gargano "
+5,"Thu, Jan 4th 2018",NJPW:WrestleKingdom 12 ,Kenny Omega vs Chris Jericho 
+5,"Sat, Oct 21st 2017",PWG:All Star Weekend 13 - Night 2 ,WALTER vs Zack Sabre Jr. 
+5,"Sun, Sep 3rd 2017",PWG:Battle of Los Angeles 2017 - Day 3 ,Keith Lee vs Donovan Dijak 
+5,"Fri, Aug 11th 2017",NJPW:G1 Climax 2017 - Day 17 ,Tetsuya Naito vs Hiroshi Tanahashi 
+5,"Sat, Jun 3rd 2017",NJPW:Best of the Super Juniors 2017 - Day 14 ,KUSHIDA vs Will Ospreay 
+5,"Sun, Apr 9th 2017",NJPW:Sakura Genesis 2017 ,Kazuchika Okada vs Katsuyori Shibata 
+5,"Sat, Feb 11th 2017",NJPW:The New Beginning in Osaka 2017 ,Michael Elgin vs Tetsuya Naito 
+5,"Sat, Sep 3rd 2016",PWG:Battle of Los Angeles 2016 - Night 2 ,"Will Ospreay, Ricochet, Matt Sydal vs Nick Jackson, Adam Cole, Matt Jackson "
+5,"Sat, Aug 13th 2016",NJPW:G1 Climax 26 - Day 18 ,Tetsuya Naito vs Kenny Omega 
+5,"Sat, Aug 6th 2016",NJPW:G1 Climax 26 - Day 13 ,Tomohiro Ishii vs Kazuchika Okada 
+5,"Mon, Jan 4th 2016",NJPW:Wrestle Kingdom 10 ,Hiroshi Tanahashi vs Kazuchika Okada 
+5,"Sun, Aug 16th 2015",NJPW:G1 Climax 25 - Day 19 ,Hiroshi Tanahashi vs Shinsuke Nakamura 
+5,"Sat, Feb 14th 2015",NJPW:The New Beginning In Sendai '15 ,Tomohiro Ishii vs Tomoaki Honma 
+5,"Sun, Jan 4th 2015",NJPW:Wrestle Kingdom 9 ,Kota Ibushi vs Shinsuke Nakamura 
+5,"Sun, Sep 21st 2014",NJPW:Destruction In Kobe '14 ,Hiroshi Tanahashi vs Katsuyori Shibata 
+5,"Mon, Oct 14th 2013",NJPW:King of Pro Wrestling '13 ,Hiroshi Tanahashi vs Kazuchika Okada 
+5,"Sat, Aug 3rd 2013",NJPW:G1 Climax 23 - Day 4 ,Tomohiro Ishii vs Katsuyori Shibata 
+5,"Sat, Apr 6th 2013",NJPW:Invasion Attack ,Kazuchika Okada vs Hiroshi Tanahashi 
+5,"Mon, Oct 8th 2012",NJPW:King of Pro Wrestling ,Minoru Suzuki vs Hiroshi Tanahashi 
+5,"Sat, Mar 31st 2012",ROH:Showdown in the Sun - Day 2 ,Davey Richards vs Michael Elgin 
+5,"Sun, Jul 17th 2011",WWE:Money in the Bank '11 ,C. M. Punk vs John Cena 
+5,"Fri, Mar 31st 2006",ROH:Supercard Of Honor ,"Ryo Saito, Dragon Kid, Genki Horiguchi vs CIMA, Naruki Doi, Masato Yoshino "
+5,"Sat, Oct 1st 2005",ROH:Joe Vs. Kobashi ,Kenta Kobashi vs Samoa Joe 
